real_x,real_y,gen_x,gen_y
-0.1550748,-11.01032,15.143337,6.6361475
0.5473821,-10.856521,10.707422,2.4863815
-5.1932015,-8.71139,6.559271,-1.3184351
-0.9009352,-12.953547,14.461451,-1.4833616
-1.4861484,-16.286348,-13.964854,6.105506
-17.07713,10.396007,5.239071,12.991911
-6.142594,1.2200884,10.64894,3.0627105
-1.6844646,-2.996263,-12.493883,-0.53605026
-3.033755,-4.9643917,-0.2904121,3.0439909
-0.50164485,-5.1273184,14.024992,0.4546781
-3.6333587,-13.07055,7.6287975,2.9653327
-8.260094,-9.021496,5.7816052,0.31784946
-9.404184,-5.8930407,9.011537,12.751442
-15.574708,10.588267,8.691594,10.197831
2.8530998,-11.878933,10.532235,2.987252
-0.17460163,-3.7703097,7.7236147,2.951231
-8.04632,1.6379639,16.187618,-0.53988606
-3.3626065,-19.229635,-13.386134,-0.02964533
-9.447755,10.685669,5.2942853,-10.223731
-6.759625,-11.182017,14.979069,3.3729541
-2.0923636,-8.287304,3.634669,7.922959
-1.5716711,4.296905,1.1226963,9.814067
-7.235532,7.8864574,16.588526,-0.33636892
-16.73914,9.860638,5.3351154,12.592332
-1.3737364,-6.9220767,12.912702,4.5216475
-7.3320823,-5.383798,12.729049,5.7950954
-7.804968,3.8704832,13.257571,8.886429
-17.501816,10.499703,-12.889567,-0.40987185
-1.2066464,-11.291844,14.52998,6.825083
1.6071037,-3.501856,10.506656,-0.6382916
-1.3707985,-11.636722,-12.774371,-0.40391096
-2.4655554,-5.6883044,7.1459947,13.829926
-8.663711,0.20766282,6.31705,-0.9233747
-0.9833512,-8.903254,8.111336,-5.9662766
-3.544226,-6.8121514,7.4431086,11.125282
3.5393267,-8.552843,15.864574,5.1765213
2.9200807,-5.211076,0.5639689,9.742399
-8.046865,2.5094569,-0.019315207,3.9135678
-10.379384,-8.401427,11.422645,10.427346
0.71880585,-16.977848,14.598041,5.076225
-9.795141,4.618267,9.353055,12.930304
-17.189713,9.79214,14.000612,-1.7982143
-3.227815,2.8457403,18.142094,3.2183142
-18.142233,10.279905,13.659011,5.2241845
-3.956663,-10.49137,15.094375,4.5487633
-16.396667,9.100349,16.631584,-0.7051569
2.693906,-10.899293,7.8110046,-9.781322
0.43716633,-2.8552728,15.276796,7.5230184
-4.5478563,-5.3921227,-12.824352,-0.45367777
-4.284974,7.5529666,-0.35907465,8.331724
-8.1538925,8.844093,4.520468,14.053941
-8.54789,0.2166707,15.295138,2.95971
-3.0681999,2.6254764,14.078372,8.023249
-0.35157347,-13.917571,7.753844,11.575541
-8.340767,-10.479633,10.626598,8.484528
-3.984367,7.364834,6.131868,2.8798542
-9.769284,4.448198,2.261688,9.729224
-10.699032,10.395063,8.848161,12.67278
-10.426006,9.275019,6.2460585,5.8390255
-5.7418747,8.006992,-13.8250265,0.4052368
-13.199766,10.325022,9.875963,-2.544985
-5.6865053,3.2178097,16.172838,1.6781045
-14.415099,11.439165,8.104203,-4.5983033
-3.937827,-12.112762,10.336784,-0.9483763
-12.797002,10.4160185,-0.03382503,3.8883162
-0.526322,-10.509792,-14.162629,5.3976393
1.9318105,-11.888869,-6.420539,8.27243
-1.8307095,-12.353915,-12.723937,6.3257575
-8.206213,-10.184063,5.342883,-10.207644
-3.4219272,-15.773997,14.09808,2.3241942
-5.900078,-6.020424,8.830915,10.361488
-2.5382266,-10.831409,-13.39725,3.6893282
-15.442656,9.809309,14.179303,9.406166
-1.7333851,3.4890356,5.6073875,0.6502062
-5.720897,-7.008441,9.820623,-1.9022801
-13.774096,10.702557,5.725891,-9.859986
3.8778334,-9.602556,-11.172013,-0.87323195
0.026382037,-7.2746673,-11.1414995,-0.79576784
-9.660804,9.626937,16.196547,2.558991
1.7209328,-15.802426,7.491189,10.064832
-10.750016,-3.5169191,8.96095,-8.57464
-3.5394804,-6.7618184,-13.3143835,6.1673326
3.74566,-8.179836,8.273843,4.657412
1.6365561,0.18432263,6.5491915,-1.2726576
-2.114192,1.7778178,8.949596,-8.584973
-17.222239,10.650688,8.699556,-6.2092147
-14.85989,8.347033,2.526574,1.4045265
-9.452332,-5.810949,-14.171906,5.937476
-6.518987,9.252489,16.029518,2.4578714
-15.353258,10.313462,14.44003,0.60249484
-10.920241,-10.557379,-0.47251117,7.3331933
6.3056164,-8.837571,-13.804482,6.0726757
-9.443388,-5.8170033,7.017399,-1.2229959
1.503074,-10.136002,15.13445,4.6382113
-1.4341103,-15.675274,5.5289216,0.80824864
-8.133613,-10.589476,-5.494039,7.1004877
-1.4326847,-16.545238,-0.24526908,3.1162233
-15.196328,10.148297,4.5793233,13.994593
-2.7487097,3.2485025,10.927497,2.9326909
1.0676368,-6.5162306,-9.936573,-1.2822121
6.1754365,-10.742645,16.332565,1.2028685
8.853823,-10.584018,-0.42534387,7.970238
-2.4667814,-13.598306,14.387467,-1.5169642
-2.47197,-5.707623,9.519214,10.0181265
3.1780062,-4.492793,-14.5082,1.4049735
-5.231401,4.0986247,16.189682,1.0788792
-0.88944554,-11.329215,5.4783144,0.6120615
-3.5514047,-8.061818,11.946915,11.202503
-8.495204,-2.2464952,-13.741614,3.7994874
-8.585518,-2.4271355,-13.311307,6.7962074
-17.578354,10.380971,15.373013,1.5988816
-7.2390175,8.700243,17.87318,-0.16249092
3.4625318,-8.634016,7.431202,-9.947217
0.15681478,-11.074125,8.690274,-6.0864487
-2.915694,-15.411323,-5.826035,9.960666
-8.7368,-8.910132,2.2501273,9.428617
-11.573521,9.499803,3.6194396,8.8228655
-6.300212,-0.9597299,-12.183476,5.141164
-16.664335,10.517061,7.217712,12.893042
-1.430318,-17.510046,16.242273,2.3577957
0.61418974,-4.5503597,7.0614185,-2.1206515
-1.0473114,-12.757655,14.002413,2.052764
-5.5991745,-2.8070385,-0.3509247,6.101783
-2.2419293,-18.93847,12.505758,-3.3302615
-10.919839,-6.228112,15.559537,4.3243937
-3.2075245,-15.137949,8.34402,-4.377399
-7.3345046,4.7739058,18.007847,0.12591013
-0.6229617,-10.854161,3.528493,5.329451
-9.092004,-8.512576,3.8247583,6.702431
-1.5606955,-13.329356,10.553693,-6.5596814
-7.1984367,4.7228107,14.265101,9.145421
-6.046997,3.1314027,3.72399,6.8488255
0.4783256,-2.4936423,5.4932446,0.5799206
-5.570376,-16.212938,6.460931,0.07740673
-10.89421,10.888078,7.6791854,-9.945286
0.9636516,-0.6350833,-12.850345,6.1626034
-0.46082717,-11.588427,12.459342,10.365713
-12.591122,8.331768,-14.255245,3.2415943
-8.341042,-10.201249,9.7657795,12.242268
-2.88117,4.4760456,-7.551447,-1.6536504
-4.475986,1.3297241,12.528107,-3.2344193
-16.396524,9.749349,7.5532694,3.0011804
-4.9786954,-2.8660758,-13.48764,0.66118836
-1.5346454,2.9017546,12.712319,9.869724
-2.8128688,-2.8678012,13.187364,7.1851907
-14.776716,8.669869,-0.42729777,6.5604615
-3.4378285,-14.921261,8.235528,-3.8130434
-7.2546673,-3.6601615,-14.160137,6.200431
-2.139197,-16.723412,17.125923,4.376154
1.2640531,-17.15164,7.203677,-2.5651016
-3.3676128,5.3914914,-0.053393148,3.7273517
-7.4027443,0.6059457,5.5140896,12.7062435
-1.37274,2.4522927,-0.4331595,6.5482597
-4.3937035,-11.049073,-5.0136385,5.840801
-18.103777,1.9549246,15.013651,5.685733
-3.4632373,-15.688755,15.643886,3.8210697
-1.9057233,-15.421238,9.066917,-8.43824
0.89162034,1.3778887,-12.908518,6.230841
-17.557533,9.989533,-13.455211,6.0764585
-5.51413,-14.276481,2.8851855,5.32982
-5.382738,-10.131058,5.9238863,12.669578
-9.033333,-8.813306,3.2817078,5.551719
-6.976876,-14.050225,16.242014,1.4429189
-17.889967,9.958991,16.336504,-1.0839696
-8.050197,-4.3988137,13.508551,5.875737
-5.4984746,-12.15207,13.977109,10.568387
-7.7397194,-11.371192,3.6626894,5.07837
-9.984184,9.570235,-6.5161023,10.515076
-11.087259,-5.9519033,16.477581,-0.10126377
-7.7660513,3.93292,-14.102838,6.085444
-5.263344,-8.494104,-13.90885,5.8738184
0.35233462,-11.724187,-11.061394,-0.8835032
-2.6718156,-18.82287,-14.1516905,5.7616277
-4.187068,5.3907185,10.388598,8.359503
-4.6034303,-5.25942,8.051605,-4.5245123
-3.9136214,2.5308335,8.994187,-8.533769
1.1602592,-10.906676,4.7641697,12.386569
3.424625,-8.75528,3.61506,9.175208
-3.7387288,-16.764494,8.259507,-4.9603086
-15.264814,10.2587385,4.8133526,10.248703
-7.427271,-13.864703,5.3295493,-10.279797
2.8349557,-5.292779,8.486974,-5.7801447
-6.693207,-14.839915,-13.845989,5.47047
-5.10723,2.558639,6.475812,-0.96195704
3.0414987,-14.983165,6.113033,-10.081854
-1.3709228,-9.6651745,16.526623,-1.1305294
-4.654783,4.2640224,-14.262067,1.034035
-16.119864,8.616557,8.554929,1.4946848
-9.350754,-6.785591,17.371208,4.51605
-16.880907,9.674121,12.152822,10.367573
-1.8077744,-11.327662,16.532503,0.05005893
-9.473069,-5.872412,1.4291648,9.824178
-8.398489,-10.132108,16.98129,-2.7458062
0.45668226,-10.397187,2.20872,9.714031
-1.1283855,-0.50831646,5.617312,-10.113553
-2.2366161,-11.0341625,5.32527,-10.13478
