real_x,real_y,gen_x,gen_y
-0.89653057,5.714341,14.262543,-7.3048277
10.095265,11.436193,2.683951,-6.745404
-15.409799,-7.6070824,-7.4530487,13.464884
11.136106,-9.80547,-14.0723095,8.764398
-17.406332,0.6786804,-16.547575,3.6311808
8.7241125,-9.365251,4.8229504,5.430552
-2.4164574,-15.141292,9.649633,-10.749145
-7.468977,7.460828,-18.61049,6.2423697
1.6836363,12.435936,-12.775602,6.812013
8.657416,13.145588,1.7164155,11.819008
-14.64467,3.9022107,-2.4927514,0.28741342
1.8724035,-3.3010461,-0.9559669,-14.411584
10.446582,11.365534,-6.5263696,-1.2871958
9.571216,-0.14728224,4.1231008,5.38158
-3.5811229,-0.32832006,-9.822843,-13.170253
5.366984,8.104351,16.317797,-0.30749077
-12.67302,8.180287,1.0027661,7.8845706
4.5656133,18.605587,1.3990833,16.49395
-2.8042088,2.4117348,-7.791034,-9.54377
-11.902959,-10.200343,3.108941,16.096273
-8.205895,9.260385,-9.705293,-13.918174
-16.669682,-1.204823,4.984763,7.2140064
8.911068,-13.086164,15.174714,-1.6936138
12.322279,-7.607309,-5.2023654,-8.232797
-7.375298,3.5762534,11.600855,10.357167
-12.547273,-5.284669,-16.090025,-3.3729565
8.596845,-18.650719,-16.072453,-1.2738997
9.805002,4.766666,-0.6102048,-14.172881
8.396654,-14.300375,10.53791,-14.2941675
6.9146676,13.676419,15.646703,4.497554
-18.025248,0.42586604,-12.608854,-12.09449
4.359848,13.30821,8.251981,10.021107
4.022596,-6.600177,13.299448,-12.11589
-2.6797354,-9.330282,-5.4340553,-0.5159636
16.674932,1.6176524,1.8967011,-5.460411
1.4491638,13.701051,-6.0069213,-7.896447
-1.9925716,-8.399437,10.0142355,4.803357
-4.5540786,0.98069584,-17.38544,-4.3312106
-15.208315,-3.0560944,-7.626885,3.4545841
-17.715174,0.8655383,-15.183177,6.0142093
-1.7233306,13.207522,5.428059,17.705383
-7.1178646,5.6075635,-18.763697,3.4776983
3.2107847,15.362888,11.622704,3.6727865
-16.467745,5.9508457,1.1691602,16.100128
10.72668,3.2127292,-6.2216907,1.3707366
-17.552462,0.75820625,10.361717,-0.055190165
10.615707,9.8818,9.235411,-7.067046
-14.355835,3.851336,-13.466892,-8.624676
-1.511452,-10.18333,-13.661036,7.94888
-8.862162,-9.936076,-11.270491,3.2430897
6.9905605,17.595974,-1.4591278,-8.781791
10.151743,7.8572016,-2.4088564,11.987293
9.17549,-3.489897,-4.7404323,5.64599
9.609101,3.269272,-7.6925306,-13.990003
-14.59529,-4.6375284,-16.111322,-0.9960904
8.142871,-11.942459,10.6439295,-15.446525
-7.6028376,-0.09393059,13.062667,-2.2150018
9.722806,6.0543265,-0.607181,-11.396908
2.2512815,-5.3543935,13.325863,7.541215
15.898411,4.42538,-18.839523,6.233607
-13.976049,3.6884887,11.257547,4.900633
-1.5504026,13.527292,-8.503005,-14.14732
-16.53609,-3.8341522,-1.8057162,-4.559529
8.373038,-13.626038,-1.8618749,-8.703389
9.217786,-3.4285946,8.623274,-12.420902
8.641505,-1.4526066,-1.5113786,9.433615
2.5600405,15.305241,9.882802,-3.74735
-7.03864,-12.324326,0.9796649,-3.3324366
-12.3309765,-11.182763,0.11649529,-12.283126
13.742853,-11.2322235,13.262726,-2.2651796
-2.7038763,5.5887313,8.723681,5.198681
9.265118,9.398728,-6.2008142,-0.45063135
11.601011,-7.3483095,-2.2201047,1.7547858
15.973616,5.862803,-9.788839,-14.501005
-14.388163,-4.580537,3.3246024,14.07077
0.74264413,-4.342414,-2.8222966,-14.226127
-5.8166075,14.19848,-14.8410225,-2.9460251
10.279358,3.2475014,-11.951909,-10.057115
-17.662466,-1.6787707,9.089913,10.726812
-17.964397,6.2378144,7.5692306,6.4529686
-0.8801557,3.951645,-16.676844,-6.085944
-18.621979,3.7494414,11.194466,-15.545814
-12.566214,-8.13013,9.995092,9.312276
12.570421,-8.002308,-17.554182,4.6989436
10.692675,5.3535357,-4.4782114,1.2126043
-12.441084,-5.3402333,-17.811073,-1.8582785
-15.110642,-3.1807613,-0.8887576,14.893315
-11.183872,-9.382259,-15.982855,6.1085987
-7.050556,9.127734,-14.738249,-11.632757
7.037091,7.0587296,-7.9838448,-14.592648
7.0530033,11.238444,-14.353026,9.15801
-13.817432,6.0684524,10.559348,5.209704
-0.5171483,4.7334404,-15.03508,2.0986946
6.967647,11.076306,11.652956,-5.5019803
-3.5519328,8.919531,-0.59989345,12.518004
-3.8047812,-15.244226,-11.264305,-8.3285885
-11.419009,-9.442654,-2.3736427,10.224133
9.466117,4.608491,-16.130138,-7.887846
-2.2427607,1.0798713,10.86385,-0.013668899
4.348175,6.6892195,-17.85098,0.6810641
-6.2198277,11.987338,8.556279,-9.567516
-13.376902,7.6180677,-7.824937,-14.277783
-1.9928591,-15.282243,1.7000705,12.12348
-14.438391,9.60609,-2.8048878,8.229847
10.056744,5.404083,2.3751667,-5.7372904
5.811327,12.126447,-17.463865,0.891244
-14.045653,3.0242932,11.825004,-10.043769
-4.5210996,2.8806593,2.5324323,-5.801887
1.310448,15.563707,15.296464,-1.6256523
2.6597602,13.035151,-4.033364,-13.943947
-6.5758843,13.472838,-2.9902282,-14.8097925
-4.19574,4.6684575,10.181913,-19.427559
-6.180109,13.09289,-12.529583,3.749729
-3.27868,-1.5621141,-2.8401527,2.4315653
5.9221344,12.597451,2.5155683,-5.839855
-11.610878,-9.821843,7.689867,12.408844
