,,DoppelGANger_0928 gen probability,DoppelGANger_0928 ori probability
complicated_malaria_no,True,0.04920325576063278,0.12203215169002468
complicated_malaria_not_assessed,True,0.9506362489969047,0.8762159934047815
complicated_malaria_yes,True,0.00016049524246242175,0.001751854905193695
febrile_no,True,0.7658374412472773,0.6865828524319868
febrile_yes,True,0.23416255875272274,0.3134171475680132
ITN_no,True,0.00027513470136419915,0.0017312448474855469
ITN_not_applicable,True,0.030906798119912926,0.027761747732893638
ITN_yes,True,0.9688180671787229,0.9705070074196208
malaria_no,True,0.9482746761435286,0.8762159934047815
malaria_yes,True,0.05172532385647144,0.12378400659521849
malaria_parasite_blood_smear_indicated_but_not_done,True,2.2927891780377685e-05,4.122011541629611e-05
malaria_parasite_blood_smear_negative_/_lamp_negative,True,0.4890290037831021,0.36642621599340475
malaria_parasite_blood_smear_negative_/_lamp_not_done,True,0.2845809927777141,0.23015251442704043
malaria_parasite_blood_smear_negative_/_lamp_positive,True,0.025541671443310765,0.09348722176422097
malaria_parasite_blood_smear_not_indicated,True,0.08224234781611828,0.12186727122835939
malaria_parasite_blood_smear_positive_/_no_malaria,True,0.00912530092857966,0.06424154987633968
malaria_parasite_symptomatic_malaria,True,0.10945775535939473,0.12378400659521849
malaria_treatment_artmether-lumefantrine_for_uncomplicated_malaria,True,0.0489051931674882,0.12108408903544932
malaria_treatment_no_malaria_medications_given,True,0.9510260231571707,0.8762159934047815
malaria_treatment_quinine_for_uncomplicated_malaria_in_the_1st_trimester_of_pregnancy,True,2.2927891780377685e-05,0.00018549051937344352
malaria_treatment_quinine_for_uncomplicated_malaria_within_14_days_of_a_previous_treatment_for_malaria,True,2.2927891780377685e-05,0.0007625721352020332
malaria_treatment_quinine_or_artesunate_for_complicated_malaria,True,2.2927891780377685e-05,0.001751854905193695
plasmodium_gametocytes_no,True,0.9983721196835951,0.9862530915086563
plasmodium_gametocytes_yes,True,0.0016278803164049283,0.013746908491343746
plasmodium_lamp_negative,True,0.31333256907027396,0.36642621599340475
plasmodium_lamp_no_result,True,0.6750888455806489,0.5400865622423743
plasmodium_lamp_positive,True,0.011578585349077186,0.09348722176422097
visit_type_enrollment,True,0.030838014444571793,0.027761747732893638
visit_type_scheduled_visit,True,0.5840192594290955,0.5729596042868921
visit_type_unscheduled_visit,True,0.3851427261263327,0.3992786479802144
