real_x,real_y,gen_x,gen_y
-3.374843,-0.81219745,-0.98955464,17.871937
-0.18068272,-18.121428,-6.129694,15.08635
16.865294,9.899146,6.387375,-1.1944776
-0.113873206,-18.111448,-2.274792,-10.039479
12.664629,3.4539452,-19.884905,4.1306934
5.5963945,-3.1529508,-10.815965,9.943601
3.6690772,-4.167258,-14.206983,-3.1960826
-3.5185807,6.4607677,10.911665,0.18767112
-7.69825,4.0711045,11.827465,-14.94054
-3.6482775,-2.7308512,-5.6513467,14.994462
-15.262589,-11.373072,-2.8388221,-9.829242
4.647654,7.9318647,11.820388,-14.943991
18.861708,-5.2264915,-17.341244,9.668595
-1.0515883,18.313372,-13.330098,-1.8950477
-3.5268753,6.4376273,-9.572343,-2.2767904
3.2319212,11.496194,13.065974,-0.77473706
8.235178,-7.150246,-11.5378895,-14.438736
7.3207946,-15.7837715,-0.20109892,-18.126028
14.409083,14.375976,-10.493847,-6.4200296
-3.537011,6.41475,-19.396805,4.106263
-4.056949,-20.26544,-2.0083776,10.701386
6.152022,0.91320026,-4.04465,-20.51253
-13.307546,-1.9644055,-17.866535,-7.969654
5.7157445,18.376204,-7.6599,4.0733166
-2.2089868,10.236314,-10.727932,15.999949
8.612161,-8.025726,-17.154692,8.947353
3.7096176,-19.512722,-5.340661,14.9453
-11.829748,3.562608,4.4334683,-11.069816
13.185588,3.3976796,-10.185841,9.284025
6.297809,-1.78416,-7.6253433,4.0758076
-1.0778167,18.566137,19.87066,0.79897684
-0.43167922,-11.848407,-4.049177,-20.44481
17.147738,9.260196,-10.957251,15.665098
2.7447772,-4.2189174,-0.968877,17.753172
-5.417346,14.957735,1.8527695,-3.874618
-9.364915,8.355635,-10.826965,15.85375
18.864744,-5.255894,-10.335674,-6.2305517
19.647202,0.9932687,-2.284759,10.050184
-11.148513,-14.216958,-4.7852345,14.870519
5.7316747,18.421886,-18.896303,4.1465755
14.349249,5.67926,-17.242662,9.280528
16.875772,9.87414,19.745766,0.9121144
13.159811,-5.532558,-11.816952,3.569581
1.7280769,4.5801454,-3.4111636,-0.939208
4.5118365,2.415576,-3.4919906,-1.1154225
-1.5866971,-10.229644,-9.614883,-1.6476766
-3.4484534,-1.057988,-5.093714,-14.887755
-3.6430378,-2.7193894,0.9391226,-2.4374971
-4.052714,-20.350239,-10.763751,9.912285
-9.461281,8.450668,16.778795,10.140264
-1.083841,18.60581,-5.1551504,-15.148713
4.5013175,16.284288,14.041054,14.265071
-3.4348445,-1.0200918,-3.5029473,-1.1291804
-16.093971,-0.24252695,11.368147,-0.014422029
-0.8621466,0.0025448925,-10.525558,16.289867
-18.025112,-7.7552333,-10.894161,15.753106
13.790242,14.185635,-17.923277,-7.89339
-0.43181983,-11.848295,-13.403041,-2.0363042
-4.6876593,3.2605324,6.4022503,-0.60454947
14.469168,14.393288,-3.634307,-2.7185843
1.890625,-3.9122934,-9.566934,8.594573
4.509652,2.417339,14.080786,-11.227164
-7.673552,4.072598,18.908705,-5.1190176
18.868452,-5.253081,11.577746,0.4523796
5.716402,18.35592,9.299897,12.428191
-7.68787,4.0717754,-0.90477353,17.37494
19.441597,1.1365483,-13.409975,-2.0620012
3.428048,-10.318609,-17.178019,9.039763
4.149888,7.2948565,-13.502235,-2.1778681
-0.9082279,17.407042,12.97042,-5.450468
-19.504583,4.1052804,16.835999,9.986735
14.351174,5.6109047,7.5166006,-15.160794
0.94836825,-2.4541209,-13.756973,-2.5420623
11.751471,-0.24567357,5.830799,18.315994
-5.7268963,15.008599,9.207928,12.986616
14.344346,5.7328925,4.3309956,10.904758
-5.012722,-14.797563,4.313933,10.940953
-19.669615,-0.19358505,-10.310679,16.57594
19.655542,0.98696524,-0.20050712,-18.125957
11.84344,-14.9331045,7.443714,-15.379607
1.8669069,4.17187,19.679586,0.966923
-5.5714903,-5.343188,14.327331,-11.053672
1.9063655,-3.9300463,1.8495687,-3.8702364
-0.86161107,17.1441,4.4922404,-11.111424
-7.717061,4.0707097,3.3270876,-10.246699
13.4094715,-5.5692325,-17.243101,9.27974
-2.2357712,10.170999,-2.1268559,-10.087565
-3.5296628,6.4308267,4.976818,15.710094
18.863983,-5.338083,-0.9363172,17.532362
-10.402077,16.456633,13.614916,-5.1614184
6.0155463,-2.497731,-1.1133121,18.967743
-16.471233,0.03584772,-10.979908,-14.120139
-11.013106,-14.138639,-3.6509197,-2.7460392
-4.998593,-14.740029,-13.346032,-1.8724016
-13.4973955,-2.2675145,-10.78767,-6.738658
-11.964227,3.3949506,4.2990675,18.230202
-12.012738,3.337202,-0.7948654,16.857868
2.7422128,6.4131994,16.772354,10.142924
-13.219975,-1.8088386,11.826969,-14.939737
13.956717,-11.303727,18.85677,-5.3976026
-2.0297997,-10.109775,-16.38382,-0.02718343
0.96078044,-2.4898348,13.251042,-5.5413747
3.501074,11.411913,-8.584657,-8.557805
-3.5225377,6.4492936,0.0021728752,-0.60947573
-12.029373,3.315327,-17.339987,9.664676
-5.1231875,-15.084483,-2.1656277,10.337354
-3.39586,-0.8962224,-5.12046,-15.070504
0.081351064,-0.601678,-11.970467,3.3889873
-12.013204,3.3365767,-5.109447,-15.06382
13.810994,14.192506,11.308056,-0.04198748
-19.591337,4.1043344,-17.77827,-8.087126
-9.323422,8.306874,-13.419077,-2.0642467
4.4043202,10.806109,16.909334,9.815581
5.8483114,1.4511762,-13.401135,-1.9669844
13.901204,8.062013,12.693659,-0.61461145
2.922369,11.565392,2.8541722,11.580778
-0.20104595,-18.12636,-2.269877,-10.041911
4.5196996,2.4110382,16.880695,9.87594
16.958883,9.691221,3.6182253,-4.167158
11.848958,-0.278337,-4.7063584,14.854483
-0.43587482,-11.843714,4.921699,9.314427
13.207231,3.3919525,-10.886938,-14.070599
14.1173315,-11.189662,-2.1997907,10.25503
-14.399787,-3.5249426,-3.5322948,6.423956
-10.947478,-14.101454,-11.933504,3.4349542
-4.061822,-20.19294,18.853321,-5.0085526
-10.461107,16.37819,18.860106,-5.462546
4.791334,8.22386,-10.900494,15.744774
8.369808,-7.4564576,-0.20156886,-18.12679
-17.138931,8.875103,2.6606019,-9.732849
-1.9568377,10.8207035,13.937581,8.069358
-11.956761,3.4030674,5.13689,15.865686
3.6572802,-19.48135,-4.049631,-20.431637
8.352406,-7.4177237,-7.8701763,4.0648875
19.590908,1.0411661,-10.725252,16.005423
-15.263611,-11.372548,-0.22070934,-18.13151
-15.267624,-11.370015,-0.43085715,-11.849436
-0.85419315,-0.00072769634,-2.1129522,-10.090952
16.834644,9.970548,-2.2713513,10.084236
-3.4533188,-1.0591285,5.1122227,16.085896
13.654059,14.144632,19.128914,1.3819966
-2.241626,10.157472,-3.9336054,-4.531464
4.919523,9.394163,9.36478,12.307577
8.706821,-8.245136,-17.012774,8.404468
0.56616676,-1.5817833,9.362848,12.418204
-2.2510033,10.134751,6.271012,-1.8431609
4.8997416,8.51225,8.485166,-7.7231026
-5.1353326,-15.14667,-16.89728,7.9633646
19.954844,0.7465507,5.227852,17.022074
6.1480765,0.92462975,4.412696,-11.055923
-4.1506867,-4.349999,19.269032,-5.4499583
3.9957645,-19.691635,11.58868,-0.15340593
11.841064,-14.933413,5.2419677,17.041372
-19.677382,-0.18901367,-6.7366595,-6.7174516
-3.6501691,-2.7335663,-0.8463677,17.013756
4.490181,10.66362,2.6359732,6.3172812
14.343947,5.7403812,1.7658856,4.44453
9.394072,12.286745,6.385104,-1.214887
1.5037394,5.258651,6.16345,0.91228336
-0.18000834,-18.121183,-17.319895,9.585228
-5.635136,14.993069,13.813793,-11.411449
-2.4678907,-9.977903,-2.1372797,-0.13525991
2.9907317,-9.981834,13.910378,14.226682
6.145588,0.9384433,-0.430396,-11.850037
-10.963819,-14.109856,-4.052816,-20.381372
18.868816,-5.213761,-12.127247,3.207495
13.381422,-5.558466,-6.19673,15.0966215
-10.99855,-14.1302805,-2.3358088,9.941139
-0.15788744,-18.117575,7.2994924,-15.806659
-4.06899,-20.105074,-3.5336895,6.42054
-2.2812994,10.06234,-13.223734,-1.745033
-19.657303,-0.20448907,-11.961117,3.4005244
13.921706,8.04716,-2.9326906,-9.78855
-9.501653,8.471178,-15.2603855,-11.375534
1.9786619,5.637314,-2.3571217,9.878513
9.418988,12.19352,-10.975555,-6.966003
5.470553,1.8940023,5.5437694,-3.198831
4.194585,2.5545871,-19.831142,4.1197658
13.920605,8.048421,14.145596,-11.180491
-3.8175967,-4.5944386,-11.003967,-14.138312
-5.0229206,-14.8142,13.254045,3.4079313
4.148426,7.293506,16.802984,10.063782
0.9466657,-2.449565,4.5762663,2.3812985
-17.969496,-7.8308606,4.4859366,2.4355497
18.868404,-5.2942877,-4.746484,3.2516968
3.9002492,7.0801573,-14.337517,-3.412214
19.611345,1.0257388,4.1054726,-19.761091
5.7748513,18.49732,5.785632,18.470814
13.757893,-11.424644,3.5070832,-10.376823
3.9727404,-19.677893,-10.711937,-6.6238174
-4.05944,-20.203157,-8.576995,-8.551689
1.8937771,-3.9175918,-15.238409,-11.396351
-11.00242,15.586506,-2.0084538,10.699374
-19.718618,-0.15407692,-0.9811001,17.77223
8.613128,-8.027905,-10.287977,16.603273
-16.48218,0.04639198,3.557466,-19.418184
5.5966396,-3.1515172,7.337817,-15.726306
-10.752176,-6.711643,-4.6406403,3.2544684
-3.5262306,6.440768,-4.0472784,-20.472778
-0.18231368,-18.121819,-9.572461,-2.4890645
-4.0252438,-20.86389,13.741272,-11.470515
13.2613125,3.3794098,-4.036568,-20.706238
-5.771356,15.015557,-4.018687,-20.955812
-17.142134,8.889855,-4.051374,-20.448963
3.8885598,7.0728936,-4.0334754,-20.736628
14.08122,-11.214324,-14.0306015,-2.9076962
4.405817,10.807404,-13.32101,-1.915585
-17.199984,9.109404,-9.617224,-1.5595543
14.344076,5.735611,6.150616,0.9300728
-8.095638,-8.199801,-16.906708,7.9878683
-17.997862,-7.792228,-10.1875725,9.290905
-13.453695,-2.174254,-11.34997,9.9455385
-10.771864,-14.004799,1.9393541,5.5570498
16.86291,9.904165,7.1240473,-16.24769
6.2955966,-1.7884147,-7.709297,4.0707827
13.333376,-5.5577736,5.560884,-3.184351
13.230493,3.3907356,11.186444,0.16211627
-8.437034,-8.480084,-14.263056,-3.301059
11.836345,-14.936072,13.954443,8.098293
-19.204613,-0.54538506,-17.103228,8.784846
4.8557796,16.582376,7.388514,-15.555229
13.922434,8.053694,-4.0395427,-20.682316
-18.037134,-7.738718,-11.301324,-14.306927
-16.870678,7.8027606,-19.722599,4.114981
14.350077,5.657989,7.337121,-15.696214
13.760354,14.176631,-5.3672757,-15.854293
6.0127273,-2.5074716,-8.204285,-8.277496
5.033318,-3.6177423,4.979313,-3.649882
-4.1375546,-4.351516,14.348121,-11.031562
16.907951,9.8069725,-10.887591,-14.07059
2.172175,3.743856,-16.547773,0.0724245
-9.646332,8.641922,2.753741,11.599137
3.6456344,-19.471567,-7.943719,-8.051243
-4.0505896,-20.389948,-9.953941,9.027065
-15.263127,-11.372836,-8.641476,-8.633611
-11.978943,3.3775477,4.9766035,2.166632
5.6519814,18.165775,5.226489,16.917044
-15.259976,-11.375597,5.395265,16.98456
-5.3728037,14.95107,3.653003,-19.48298
-19.855349,4.1122756,-11.050243,-14.159167
-3.5352526,6.417948,5.245177,16.874517
-11.15177,-14.219179,-4.9847198,14.893068
12.383828,-0.4994783,-11.250481,9.674642
-17.925802,-7.889769,4.404756,10.818561
-10.844849,15.827056,5.0954847,16.650501
-17.097805,8.719251,-13.412316,-2.0227146
9.409479,12.225894,16.916698,9.801635
-0.8760909,17.21291,16.850737,9.951935
14.596932,14.429608,1.3022829,-3.1910136
-19.25958,-0.5018898,-15.2593155,-11.37692
9.198437,13.085941,-16.230442,-0.1439552
5.61642,-3.137306,4.3377485,18.226732
-1.0703623,18.497635,-2.4367216,9.681161
-0.18961793,-18.123606,-2.1923416,10.273498
-19.746143,4.1072397,5.841321,18.594606
-4.9758134,-14.706259,-11.864571,3.5129468
-17.908445,-7.913093,-5.810254,15.018255
1.9136242,-3.9381962,4.266794,-4.033856
-17.102108,8.73611,12.964499,-0.7318324
-4.6529875,3.2579246,-4.713416,3.256837
2.9081762,3.0961955,8.718737,-8.262121
-19.59446,4.1041255,8.394694,-7.5064087
7.361779,-15.650386,-19.69604,-0.1653406
-3.6335273,-2.6947155,4.9210124,9.357301
-3.5313501,6.4270597,5.740699,18.373957
13.656604,14.144478,-4.0447826,-20.54441
-5.9681983,15.05163,-10.300653,9.445139
-5.0568066,-14.9113,-5.600769,-5.361427
-6.6536098,-6.6227555,-8.246358,-8.29992
-1.8831837,-10.151396,3.5845082,-19.47768
16.895,9.836853,17.150911,9.254061
9.439666,12.118122,-5.7980604,15.0170965
6.032775,-2.4738746,-5.39342,14.936729
-19.687963,-0.18000579,14.306234,-11.068906
11.895495,-14.903754,16.911901,9.81242
-10.865618,15.796205,19.971844,0.7258671
-19.688784,-0.17866409,-3.632227,-2.713106
7.4992204,-15.253859,4.51314,10.620027
1.868095,4.1637564,-4.885664,14.880429
-10.812817,-14.028515,-9.814381,8.827036
13.264241,3.3718295,-8.169017,-8.2523575
14.510051,-10.912073,-4.673347,3.2572043
-8.125263,-8.232336,-8.052778,4.0520453
-1.7403886,-10.20266,-13.358086,-1.9746768
-1.0120163,18.027918,-0.20437753,-18.127766
-6.6582723,-6.636613,13.292017,3.4080477
-3.394573,-0.88843435,12.229334,-0.42358947
-10.442333,16.403572,-19.947744,4.140517
-4.178148,-4.3253098,-8.307067,-8.348382
5.06473,-3.5990853,11.982516,0.3010892
14.343879,5.740018,-9.521242,8.539367
13.2772045,3.3668027,-7.706243,4.07092
-11.944465,3.418531,-0.18901417,-18.123169
-13.867406,-2.7784686,-19.58576,-0.2631749
1.3513663,-3.2712963,4.2101946,11.020712
4.187926,7.302934,11.605014,-0.07907343
2.6486368,-4.128682,-10.78324,15.918929
18.863453,-5.263898,-17.859001,-7.979862
-3.5230272,6.4471803,13.27494,14.036408
13.523522,-5.5748115,-0.004604995,-0.61452144
-13.679919,-2.514291,5.4784346,1.863752
13.922819,8.051401,13.674185,-5.4896283
-6.6566095,-6.6332583,-5.3355355,-15.734722
0.57551706,-1.6023021,-9.692067,8.753693
-4.6943426,3.260055,4.3197837,10.914039
16.866083,9.897124,-10.762214,15.950439
-0.42928934,-11.851068,-10.873141,10.012607
16.792112,10.076122,-4.254425,-4.304402
13.200716,-5.5406604,1.7380474,5.1254907
-4.8337026,14.877658,-1.0418046,18.236998
-0.431156,-11.849025,19.750011,0.9108267
-10.467513,9.519703,-17.290277,9.472802
11.969243,-0.33193856,-8.238875,-8.305715
