Static,Identifiers,Time,DependentVariables,ListLike,ShortText,Hospital,Continuous,YesNo,Days
,1,,,,,,,,
1,1,,,,,,,,
1,1,,,,,,,,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,1,1,,,
,,1,,,,,,,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,1,,
,,,1,,,,,1,
,,,1,,,,,,
,,,1,,,,,1,
,,,1,,,,,1,
,,,1,,,,,,1
,,1,,,,,,,
,,,1,,,1,,,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,1,,
,,,1,,,,1,,
,,,1,,,1,,,
,,,1,,,1,,,
,,,1,,,,,1,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,,1,
,,,1,,,,,,
,,,1,,,,,,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,1,1,,,,
,,,1,1,,,,,
,,,1,1,,,,,
,,,1,,,,,1,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,1,,,,
,,,1,,,,,1,
,,,1,,,,,1,
,,,1,,,,1,,
,,1,,,,,,,
,,,1,,,,,,
,,,1,,,,,1,
,,,1,,,,,,1
,,,1,,,,1,,
