,Household_Id,Air bricks [EUPATH_0000018],Animal-drawn cart [EUPATH_0000166],Bank account [EUPATH_0000167],Bed [ENVO_00000501],Bicycle [ENVO_01000614],Boat with a motor [EUPATH_0000179],Boat without a motor [EUPATH_0000170],Car or truck [EUPATH_0000171],Cassette player [ENVO_01000578],Chair [ENVO_01000586],Clock [ENVO_01000596],Cooking fuel [EUPATH_0000023],Cupboard [ENVO_01000595],Drinking water source [ENVO_00003064],Dwelling type [ENVO_01000744],Eaves [EUPATH_0000015],Electricity [EUPATH_0021084],Floor material [EUPATH_0000006],Food problems per week [EUPATH_0000029],"Household wealth index, categorical [EUPATH_0000143]",Landline phone [ENVO_01000582],Lighting source [OBI_0400065],Mobile phone [ENVO_01000581],Motorcycle or scooter [ENVO_01000615],Radio [ENVO_01000577],Refrigerator [ENVO_01000583],Roof material [EUPATH_0000003],Sofa [ENVO_01000588],Sub-county in Uganda [EUPATH_0000054],Table [ENVO_01000584],Television [ENVO_01000579],Wall material [EUPATH_0000009],Watch [EUPATH_0000186]
0,HH101009801,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1,HH102014401,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0
2,HH102019101,2,0,1,1,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1,0,2,1,0,0,0,1,0,0,1,0,1,0
3,HH103003601,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0
4,HH103004301,1,0,0,1,1,0,0,0,0,1,0,0,0,4,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5,HH103007202,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6,HH103008301,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
7,HH103017501,0,0,0,1,1,0,0,0,0,1,0,0,1,5,0,0,0,0,3,2,0,0,1,1,1,0,1,1,0,1,0,0,1
8,HH103020201,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2,0,3,1,0,1,0,1,0,0,1,0,1,1
9,HH104007201,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10,HH105000401,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11,HH105006801,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HH105007801,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1
13,HH107009202,0,0,0,1,1,0,0,0,0,1,0,0,1,2,0,1,0,2,3,2,0,4,1,0,1,0,1,0,0,1,0,0,0
14,HH107020201,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
15,HH108001201,1,0,0,1,0,0,0,0,0,1,0,0,0,5,1,1,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,1,0
16,HH109008701,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,1,1,0,1
17,HH111007302,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0
18,HH111008001,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0
19,HH112000801,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,0,0,1,0,1,0,0,0,0,1,0,0,1
20,HH114001102,0,1,0,1,1,0,0,0,0,1,0,0,0,5,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
21,HH114002801,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,HH114003702,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
23,HH114004201,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
24,HH114004501,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,HH114004701,1,1,0,1,1,0,0,0,0,1,0,0,0,5,0,1,0,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26,HH114006801,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0
27,HH114007303,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,HH114011201,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
29,HH115001701,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,5,1,0,1,0,1,0,0,1,0,1,0
30,HH115007801,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
31,HH116000604,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,HH117009902,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0
33,HH117010301,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
